raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida,ranking_de_popularidad
Bull Terrier,terrier,18490,10.21,2,1085,466,2,2,medium,27,55,Fair,40-80,>30,"heart problems, zinc metabolism disorder","lethal acrodermatitis, Mitral valve dysplasia",mid-price,300,1750,4087,10679,51
Boxer,working,15746,8.81,4,700,466,2,1,medium,20.35,59,Average,25-40,>50,"eye, nerve, heart problems","Corneal dystrophy, Degenerative myelopathy, Dilated cardiomyopathy, Subaortic stenosis",mid-price,300,2500,3526,9215,7
Alaskan Malamute,working,21986,10.67,2,1210,710,1,2,large,36,61,Average,25-40,>50,"hip problems, dwarfism","Hip dysplasia, Osteochondrodysplasia - skeletal dwarfism",mid-price,550,2350,6499,11160,58
Chow Chow,non-sporting,15898,9.01,2,515,466,1,2,medium,20.35,47,Lowest,80-100,<25,"eye, hip problems","Entropion, Hip dysplasia",budget,200,750,3606,9424,68
Bloodhound,hound,13824,6.75,2,608,710,2,2,large,39,64,Lowest,80-100,<25,"fatal stomach bloat, skin problems","Gastric dilatation-volvulus, Hip dysplasia",budget,200,1000,4111,7060,48
Irish Wolfhound,hound,18435,6.94,3,1333,1217,2,1,large,20.35,81,Average,25-40,>50,"heart, liver, hip problems","Dilated cardiomyopathy, Hip dysplasia, Portosystemic shunt",mid-price,800,1550,7246,7259,79
Bullmastiff,working,13936,7.57,2,980,466,2,1,large,52,65,Fair,40-80,>30,"eye, hip problems","Entropion, Hip dysplasia",mid-price,600,1600,3030,7918,40
Mastiff,working,13581,6.5,2,900,701,2,1,large,79,76,Lowest,80-100,<25,"hip, heart problems","Hip dysplasia, Pulmonic stenosis",mid-price,150,1200,3325,6799,28
Great Dane,working,14662,6.96,4,1040,710,2,1,large,20.35,76,Average,25-40,>50,"heart, spinal, hip problems, fatal stomach bloat","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Gastric dilatation-volvulus, Hip dysplasia",mid-price,500,2500,4239,7280,19
Saint Bernard,working,20022,7.78,3,875,1217,1,1,large,70,67,Fair,40-80,>30,"heart, hip disorders, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus, Hip dysplasia",mid-price,450,1500,8124,8137,49
Bulldog,non-sporting,13479,6.29,5,2680,466,2,2,medium,20,48,Lowest,80-100,<25,"breathing, hip, heart problems, 'dry eye'","brachycephalic syndrome, Hip dysplasia, Keratoconjunctivitis sicca (KCS) - ""dry eye"", Pulmonic stenosis, Ventricular septal defect (VSD)",high-end,1500,5500,2518,6579,6
Airedale Terrier,terrier,19819,11.45,1,733,489,2,1,medium,20.35,58,Above average,15-25,>70,hip problems,hip dysplasia,mid-price,475,1200,4448,11976,55
American English Coonhound,hound,19819,11.5,1,283,489,2,1,large,20.35,62,Average,25-40,>50,no data,no data,budget,100,350,4448,11456,33
American Eskimo Dog,non-sporting,19819,14,0,560,489,2,1,small,20.35,36,Average,25-40,>50,none,none,budget,300,950,4448,11456,116
American Foxhound,hound,19819,11,1,757,489,2,1,medium,20.35,58,Average,25-40,>50,no data,no data,mid-price,250,1000,4448,11456,173
American Staffordshire Terrier,terrier,19819,14,1,1043,489,2,1,medium,20.35,46,Above average,15-25,>70,skin problems,Demodicosis/ Demodectic mange,mid-price,250,1500,4448,11456,72
American Water Spaniel,sporting,19819,14,0,730,489,2,1,medium,16,42,Average,25-40,>50,none,none,mid-price,600,1250,4448,11456,157
Anatolian Shepherd Dog,working,19819,10.75,1,795,489,2,2,large,52,71,Average,25-40,>50,no data,no data,mid-price,362,1395,6548,11244,111
Bearded Collie,herding,19819,12.77,0,795,489,1,1,medium,20.35,53,Above average,15-25,>70,none,none,mid-price,362,1395,5111,13357,112
Beauceron,herding,19819,11,1,967,489,2,1,large,20.35,65,Average,25-40,>50,no data,no data,mid-price,950,1000,4448,11456,144
Belgian Malinois,herding,19819,12,0,1080,489,2,1,large,20.35,61,Excellent,5-15,>85,none,none,mid-price,550,2000,4448,11456,74
Belgian Sheepdog,herding,19819,12,4,795,489,2,1,large,20.35,61,Excellent,5-15,>85,"cataracts + other eye problems, muscular dystrophy","Cataracts, Pannus - chronic superficial keratitis, Progressive retinal atrophy, X-linked muscular dystrophy",mid-price,362,1395,4448,11456,118
Black and Tan Coonhound,hound,19819,11,0,325,489,2,1,large,20.35,64,Average,25-40,>50,none,none,budget,200,500,4448,11456,109
Black Russian Terrier,working,19819,10.5,0,2833,489,2,1,large,20.35,71,Average,25-40,>50,none,none,high-end,2500,3000,4448,11456,128
Bluetick Coonhound,hound,19819,11.5,0,370,489,2,1,large,28,61,Average,25-40,>50,none,none,budget,200,500,4448,11456,136
Boykin Spaniel,sporting,19819,15,1,531,489,2,1,medium,20.35,41,Average,25-40,>50,no data,no data,budget,200,800,4448,11456,138
Canaan Dog,herding,19819,14.67,0,795,489,2,1,medium,20,55,Average,25-40,>50,none,none,mid-price,362,1395,5872,15344,168
Cane Corso,working,19819,11,1,1070,489,2,1,large,20.35,64,Average,25-40,>50,no data,no data,mid-price,900,1500,4448,11456,67
Cardigan Welsh Corgi,herding,19819,12.7,0,828,489,2,1,small,14,29,Excellent,5-15,>85,none,none,mid-price,395,1085,4448,13284,81
Cesky Terrier,terrier,19819,8.42,1,795,489,2,1,small,9,29,Average,25-40,>50,no data,no data,mid-price,362,1395,3370,8807,106
Chinese Crested,toy,19819,10.08,1,538,489,2,1,small,20.35,30,Fair,40-80,>30,no data,no data,budget,125,1300,4448,10543,61
Chinese Shar Pei,non-sporting,19819,10,4,840,489,2,1,medium,24,48,Average,25-40,>50,"canine hay fever, skin, eye, hip problems","Atopy, Demodicosis/ Demodectic mange, Entropion, Hip dysplasia",mid-price,350,2000,4448,11456,50
Collie,herding,19819,12.5,2,650,489,2,1,large,28,61,Excellent,5-15,>85,"eye, skin and muscle disorders","Collie eye anomaly (CEA), Dermatomyositis and ulcerative dermatosis",budget,350,950,4448,11456,36
Curly Coated Retriever,sporting,19819,10.75,0,795,489,2,2,large,20.35,64,Average,25-40,>50,none,none,mid-price,362,1395,6548,11244,154
English Foxhound,hound,19819,11.5,0,795,489,2,1,large,20.35,61,Average,25-40,>50,none,none,mid-price,362,1395,4448,11456,171
Entlebucher Mountain Dog,herding,19819,13,1,1167,489,2,1,medium,20.35,47,Average,25-40,>50,no data,no data,mid-price,1000,1300,4448,11456,146
Field Spaniel,sporting,19819,9.9,0,795,489,1,2,medium,20.35,44,Above average,15-25,>70,none,none,mid-price,362,1395,3963,10355,141
Finnish Lapphund,herding,19819,7.33,1,795,489,1,1,medium,20.35,47,Average,25-40,>50,no data,no data,mid-price,362,1395,2934,7667,104
Finnish Spitz,non-sporting,19819,11.17,0,795,489,2,1,medium,20.35,45,Average,25-40,>50,none,none,mid-price,362,1395,4471,11683,167
German Pinscher,working,19819,11.42,1,1500,489,2,1,medium,20.35,47,Average,25-40,>50,no data,no data,high-end,1500,1500,4448,11945,137
German Wirehaired Pointer,sporting,19819,10,1,655,489,2,1,large,20.35,61,Average,25-40,>50,hip problems,hip dysplasia,budget,600,800,4448,10459,75
Glen of Imaal Terrier,terrier,19819,10.42,1,795,489,2,1,small,16,34,Average,25-40,>50,no data,no data,mid-price,362,1395,4448,10899,158
Great Pyrenees,working,19819,10,1,503,489,2,1,large,20.35,72,Fair,40-80,>30,hip problems,hip dysplasia,budget,225,800,4448,10459,71
Greater Swiss Mountain Dog,working,19819,6.8,1,1605,489,2,1,large,20.35,66,Average,25-40,>50,hip problems,hip dysplasia,high-end,900,2500,4448,7112,82
Harrier,hound,19819,11,0,795,489,2,1,medium,20.35,51,Average,25-40,>50,none,none,mid-price,362,1395,4448,11456,172
Havanese,toy,19819,10.25,0,830,489,2,1,small,20.35,25,Average,25-40,>50,none,none,mid-price,300,1500,4448,10721,31
Ibizan Hound,hound,19819,11,0,1500,489,2,1,large,20.35,64,Average,25-40,>50,none,none,high-end,1500,1500,4448,11456,149
Icelandic Sheepdog,herding,19819,13.5,1,795,489,2,1,medium,20.35,44,Average,25-40,>50,no data,no data,mid-price,362,1395,4448,11456,143
Irish Red and White Setter,sporting,19819,11.57,1,1000,489,2,1,large,20.35,62,Average,25-40,>50,no data,no data,mid-price,1000,1000,4448,12102,147
Irish Terrier,terrier,19819,14,0,588,489,2,1,medium,12,46,Average,25-40,>50,none,none,budget,400,850,4448,11456,132
Irish Water Spaniel,sporting,19819,9.33,1,795,489,2,1,medium,25,57,Excellent,5-15,>85,hip problems,hip dysplasia,mid-price,362,1395,5683,9759,150
Japanese Chin,toy,19819,9.25,0,513,489,2,1,small,20.35,24,Fair,40-80,>30,none,none,budget,200,800,4448,9675,78
Keeshond,non-sporting,19819,12.17,1,610,489,2,1,medium,20.35,44,Excellent,5-15,>85,hip problems,hip dysplasia,budget,350,1000,4448,12729,98
Komondor,working,19819,9.17,1,656,489,2,1,large,45,70,Average,25-40,>50,hip problems,hip dysplasia,budget,500,850,4448,9591,166
Kuvasz,working,19819,11,1,795,489,2,1,large,42,71,Average,25-40,>50,hip problems,hip dysplasia,mid-price,362,1395,4448,11456,148
Lakeland Terrier,terrier,19819,14,0,1093,489,2,1,small,8,37,Fair,40-80,>30,none,none,mid-price,575,1600,4448,11456,135
Leonberger,working,15141,6.98,1,1480,489,2,1,large,20.35,72,Average,25-40,>50,no data,no data,mid-price,700,1800,4251,7301,103
Löwchen,non-sporting,19819,10,0,795,489,2,1,small,20.35,33,Average,25-40,>50,none,none,mid-price,362,1395,4448,10459,152
Manchester Terrier,terrier,19819,9.32,0,720,489,2,1,small,8,48,Above average,15-25,>70,none,none,mid-price,140,1500,4448,9748,152
Miniature Bull Terrier,terrier,19819,6.6,0,1740,489,2,1,small,20.35,30,Average,25-40,>50,none,none,high-end,999,2800,4448,6903,119
Miniature Pinscher,toy,19819,14,0,535,489,2,1,small,20.35,29,Above average,15-25,>70,none,none,budget,300,900,4448,11456,127
Neapolitan Mastiff,working,19819,9,1,1760,489,2,1,large,59,70,Average,25-40,>50,hip problems,hip dysplasia,high-end,850,3500,4448,11456,42
Norwegian Buhund,herding,19819,12.67,1,795,489,2,1,medium,15,44,Average,25-40,>50,no data,no data,mid-price,362,1395,4448,13252,110
Norwegian Elkhound,hound,19819,13.5,1,448,489,2,1,medium,23,51,Above average,15-25,>70,hip problems,hip dysplasia,budget,350,500,4448,11456,165
Norwegian Lundehund,non-sporting,19819,13,1,795,489,2,1,small,20.35,34,Average,25-40,>50,no data,no data,mid-price,362,1395,4448,11456,96
Norwich Terrier,terrier,19819,13,0,1245,489,2,2,small,5,25,Above average,15-25,>70,none,none,mid-price,750,2000,4448,11456,170
Nova Scotia Duck Tolling Retriever,sporting,12653,6.5,1,1500,489,2,1,medium,20.35,48,Average,25-40,>50,hip problems,hip dysplasia,high-end,1500,1500,2602,6799,89
Otterhound,hound,19819,10.8,1,795,489,2,1,large,44,65,Average,25-40,>50,hip problems,hip dysplasia,mid-price,362,1395,4323,11296,169
Parson Russell Terrier,terrier,19819,14,0,528,489,2,2,small,7,34,Average,25-40,>50,none,none,budget,150,850,4448,11456,107
Petit Basset Griffon Vendeen,hound,19819,12.7,0,400,489,2,1,small,20.35,36,Fair,40-80,>30,none,none,budget,250,700,4448,13284,169
Plott,hound,19819,13,0,795,489,2,1,medium,23,57,Average,25-40,>50,none,none,mid-price,362,1395,4448,11456,97
Polish Lowland Sheepdog,herding,19819,10.8,1,795,489,2,2,medium,20.35,47,Average,25-40,>50,no data,no data,mid-price,362,1395,4323,11296,131
Portuguese Water Dog,working,19819,11.42,0,795,489,2,1,medium,22,51,Average,25-40,>50,none,none,mid-price,362,1395,4448,11945,145
Puli,herding,19819,14,0,913,489,2,1,medium,20.35,42,Above average,15-25,>70,none,none,mid-price,700,1000,4448,11456,159
Pyrenean Shepherd,herding,19819,16,1,795,489,2,1,medium,20.35,46,Average,25-40,>50,no data,no data,mid-price,362,1395,4448,11456,56
Redbone Coonhound,hound,19819,11.5,0,425,489,2,1,large,20.35,61,Average,25-40,>50,none,none,budget,300,700,4448,11456,156
Schipperke,non-sporting,19819,13,4,658,489,2,1,small,20.35,29,Excellent,5-15,>85,"hair loss, diabetes, skin problems","colour dilution alopecia, Diabetes mellitus, Follicular dysplasias, Pemphigus",budget,300,975,4448,13597,162
Scottish Deerhound,hound,19819,8.7,2,795,489,2,1,large,42,48,Average,25-40,>50,"heart problems, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus",mid-price,362,1395,4448,9100,126
Sealyham Terrier,terrier,19819,12.25,1,795,489,2,1,small,11,27,Fair,40-80,>30,eye problems,Retinal dysplasia,mid-price,362,1395,4448,12813,105
Shiba Inu,non-sporting,19819,7,1,890,489,2,1,small,9,38,Average,25-40,>50,hip problems,hip dysplasia,mid-price,650,1400,4448,7322,142
Silky Terrier,toy,19819,14.25,0,448,489,2,1,small,5,24,Above average,15-25,>70,none,none,budget,250,500,4448,14905,163
Skye Terrier,terrier,19819,11,0,550,489,2,1,small,18,25,Fair,40-80,>30,none,none,budget,500,600,4448,11505,53
Smooth Fox Terrier,terrier,19819,13.17,0,575,489,2,1,small,8,38,Average,25-40,>50,none,none,budget,450,750,4448,13775,85
Soft-Coated Wheaten Terrier,terrier,19819,12.16,0,832,489,2,1,medium,16,46,Average,25-40,>50,none,none,mid-price,675,1000,4448,12719,164
Spinone Italiano,sporting,19819,9,1,1725,489,2,1,large,20.35,62,Average,25-40,>50,no data,no data,high-end,1100,2000,4448,9414,113
Standard Schnauzer,working,19819,14.5,1,855,489,2,1,medium,20.35,47,Excellent,5-15,>85,hip problems,hip dysplasia,mid-price,50,1500,4448,11456,52
Sussex Spaniel,sporting,19819,11.17,0,795,489,2,3,small,18,36,Average,25-40,>50,none,none,mid-price,362,1395,4471,11683,123
Swedish Vallhund,herding,22839,14.17,1,772,489,2,1,small,20.35,32,Average,25-40,>50,no data,no data,mid-price,550,1000,3946,14821,91
Tibetan Mastiff,working,23747,11.92,1,3460,489,2,1,large,20.35,64,Average,25-40,>50,no data,no data,high-end,800,6500,4771,12468,161
Toy Fox Terrier,toy,19819,13.5,1,460,489,2,1,small,20.35,25,Average,25-40,>50,no data,no data,budget,200,650,4448,11456,153
Vizsla,sporting,19819,12.5,0,935,489,2,1,medium,20.35,57,Excellent,5-15,>85,none,none,mid-price,800,1200,4448,13074,122
Weimaraner,sporting,19819,12.5,1,562,489,2,1,large,20.35,64,Excellent,5-15,>85,hip problems,hip dysplasia,budget,300,900,4448,11456,101
Welsh Terrier,terrier,19819,13.5,0,843,489,2,1,small,9,38,Average,25-40,>50,none,none,mid-price,575,1250,4448,11456,37
Wire Fox Terrier,terrier,19819,13.17,0,668,489,2,1,small,8,38,Average,25-40,>50,none,none,budget,175,1600,4448,13775,32
Wirehaired Pointing Griffon,sporting,19819,8.8,0,755,489,2,1,medium,20.35,56,Average,25-40,>50,none,none,mid-price,750,800,4448,9204,99
Xoloitzcuintli,non-sporting,19819,13.5,1,717,489,2,1,medium,20.35,42,Average,25-40,>50,no data,no data,mid-price,300,2000,4448,11456,100